actor,movie_or_TV_name
Actor: Mahito Ôba,Ojiichan wa 25 sai
Actor: Mahito Ôba,One Piece Film: Strong World
Actor: Mahito Ôba,Wan pîsu: Romansu keimei
Actor: Mahito Ôba,Graveyard Kitaro
Actor: Mahito Ôba,Kinnikuman nisei
Actor: Hiroaki Hirata,The Millionaire Detective: Balance - Unlimited
Actor: Hiroaki Hirata,Sword Art Online
Actor: Hiroaki Hirata,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes
Actor: Hiroaki Hirata,Digimon Adventure: Last Evolution Kizuna
Actor: Hiroaki Hirata,Lupin III: Prison of the Past
Actor: Hiroaki Hirata,Tokunana
Actor: Mahito Ôba,The Detective Memoirs of Chief Straw Hat Luffy
Actor: Mahito Ôba,Suika: Manatsu no okuri mono
Actor: Mahito Ôba,Kinnikuman nisei: Muscle ninjin sôdatsu! Chôjin dai-sensô
Actor: Mahito Ôba,Kinnikuman nisei: Second Generations
Actor: Mahito Ôba,One Piece: Jango's Dance Carnival
Actor: Mahito Ôba,Ring 0: Birthday
Actor: Mahito Ôba,Yu-Gi-Oh!
Actor: Mahito Ôba,Sailor Moon R: The Movie: The Promise of the Rose
Actor: Hiroaki Hirata,One Piece: Stampede
Actor: Hiroaki Hirata,Ultraman
Actor: Hiroaki Hirata,Ace Attorney
Actor: Hiroaki Hirata,Banana Fish
Actor: Hiroaki Hirata,Hori-san to Miyamura-kun
Actor: Hiroaki Hirata,Digimon Adventure tri. Part 6: Future
Actor: Mahito Ôba,Starship Troopers
Actor: Hiroaki Hirata,After the Rain
Actor: Hiroaki Hirata,Gintama
Actor: Hiroaki Hirata,B: The Beginning
Actor: Hiroaki Hirata,Maquia: When the Promised Flower Blooms
Actor: Hiroaki Hirata,Digimon Adventure tri. Part 5: Coexistence
Actor: Hiroaki Hirata,Saiyuki Reload Blast
Actor: Hiroaki Hirata,Granblue Fantasy: The Animation
Actor: Hiroaki Hirata,Blue Exorcist: Kyoto Saga
Actor: Hiroaki Hirata,Digimon Adventure tri. Part 4: Loss
Actor: Hiroaki Hirata,Sword Art Online the Movie: Ordinal Scale
Actor: Hiroaki Hirata,Tôkyô Wan Pîsu Tawâ: Tongari Shima no Dai Hihô
Actor: Hiroaki Hirata,Naruto: Shippûden
Actor: Hiroaki Hirata,Qualidea Code
Actor: Hiroaki Hirata,Digimon Adventure Tri. Part 3: Confession
Actor: Hiroaki Hirata,One Piece Film: Gold
Actor: Hiroaki Hirata,God Eater
Actor: Hiroaki Hirata,Digimon Adventure tri. Part 2: Determination
Actor: Hiroaki Hirata,New Initial D the Movie: Legend 3 - Dream
Actor: Hiroaki Hirata,Digimon Adventure tri. Part 1: Reunion
Actor: Hiroaki Hirata,New Initial D the Movie: Legend 2 - Racer
Actor: Hiroaki Hirata,Crayon Shin-chan Movie 23: Ora No Hikkoshi Monogatari - Saboten Daisuugeki
Actor: Hiroaki Hirata,Yatterman Night
Actor: Hiroaki Hirata,"Sleep tight my baby, cradled in the sky"
Actor: Hiroaki Hirata,New Initial D the Movie: Legend 1 - Awakening
Actor: Hiroaki Hirata,Saint Seiya: Legend of Sanctuary
Actor: Hiroaki Hirata,Space Brothers
Actor: Hiroaki Hirata,Tiger & Bunny: The Rising
Actor: Hiroaki Hirata,Sword Art Online Extra Edition
Actor: Hiroaki Hirata,Kamen Rider Wizard
Actor: Hiroaki Hirata,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari
Actor: Hiroaki Hirata,Hikonin Sentai Akibaranger
Actor: Hiroaki Hirata,Dream 9 Toriko x One Piece x Dragon Ball Z Super Collaboration Special!!
Actor: Hiroaki Hirata,Naruto SD: Rock Lee & His Ninja Pals
Actor: Hiroaki Hirata,The Hero Yoshihiko and the Key of the Evil Spirit
Actor: Hiroaki Hirata,One Piece: Episode of Luffy - Adventure on Hand Island
Actor: Hiroaki Hirata,One Piece Film Z
Actor: Hiroaki Hirata,Psychic School Wars
Actor: Hiroaki Hirata,Gekijo-ban Tiger & Bunny -The Rising
Actor: Hiroaki Hirata,One Piece: Episode of Nami - Tears of a Navigator and the Bonds of Friends
Actor: Hiroaki Hirata,Asura
Actor: Hiroaki Hirata,Beyblade: Shogun Steel
Actor: Hiroaki Hirata,Toriko
Actor: Hiroaki Hirata,Uchû kyôdai
Actor: Hiroaki Hirata,Another
Actor: Hiroaki Hirata,Kaizoku Sentai Gokaiger
Actor: Hiroaki Hirata,Black Lagoon: Roberta's Blood Trail
Actor: Hiroaki Hirata,Saiyuki Gaiden
Actor: Hiroaki Hirata,One Piece 3D: Straw Hat Chase
Actor: Hiroaki Hirata,Iron Man
Actor: Hiroaki Hirata,Thriller Restaurant the Movie
Actor: Hiroaki Hirata,Black Lagoon Omake
Actor: Hiroaki Hirata,Tax Men
Actor: Hiroaki Hirata,One Piece: Strong World
Actor: Hiroaki Hirata,God Eater Prologue
Actor: Hiroaki Hirata,Canaan
Actor: Hiroaki Hirata,The Slayers
Actor: Hiroaki Hirata,Air Gear
Actor: Hiroaki Hirata,Wan pîsu: Romansu keimei
Actor: Hiroaki Hirata,Box of Goblins
Actor: Hiroaki Hirata,Our Home's Fox Deity
Actor: Hiroaki Hirata,"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura"
Actor: Hiroaki Hirata,Hellsing Ultimate
Actor: Hiroaki Hirata,Strait Jacket
Actor: Hiroaki Hirata,Claymore
Actor: Hiroaki Hirata,Saiyuki Reload: Burial
Actor: Hiroaki Hirata,Princess Resurrection
Actor: Hiroaki Hirata,One Piece: Episode of Alabasta - The Desert Princess and the Pirates
Actor: Hiroaki Hirata,Moonlight Mile
Actor: Hiroaki Hirata,Black Lagoon
Actor: Hiroaki Hirata,Innocent Venus
Actor: Hiroaki Hirata,One Piece: The Giant Mechanical Soldier of Karakuri Castle
Actor: Hiroaki Hirata,Looking Up at the Half-Moon
Actor: Hiroaki Hirata,Ayakashi - Samurai Horror Tales
Actor: Hiroaki Hirata,The Detective Memoirs of Chief Straw Hat Luffy
Actor: Hiroaki Hirata,Monster
Actor: Hiroaki Hirata,One Piece: Baron Omatsuri and the Secret Island
Actor: Hiroaki Hirata,Naruto
Actor: Hiroaki Hirata,Transformers: Galaxy Force
Actor: Hiroaki Hirata,Xenosaga: The Animation
Actor: Hiroaki Hirata,Digimon X-Evolution
Actor: Hiroaki Hirata,Magical DoReMi
Actor: Hiroaki Hirata,Elfen Lied
Actor: Hiroaki Hirata,DearS
Actor: Hiroaki Hirata,Madlax
Actor: Hiroaki Hirata,Saiyuki Reload Gunlock
Actor: Hiroaki Hirata,Ghost in the Shell 2: Innocence
Actor: Hiroaki Hirata,One Piece: The Cursed Holy Sword
Actor: Hiroaki Hirata,Divergence Eve: Misaki Chronicles
Actor: Hiroaki Hirata,One Piece: Protect! The Last Great Stage
Actor: Hiroaki Hirata,Saiyuuki Reload
Actor: Hiroaki Hirata,Inuyasha
Actor: Hiroaki Hirata,Kid's Story
Actor: Hiroaki Hirata,Nasu: Summer in Andalusia
Actor: Hiroaki Hirata,"One Piece: Open Upon the Great Sea! A Father's Huge, Huge Dream!"
Actor: Hiroaki Hirata,One Piece: Dead End Adventure
Actor: Hiroaki Hirata,Anime Tencho
Actor: Hiroaki Hirata,Gensomaden Saiyuki: Kibou no zaika
Actor: Hiroaki Hirata,Detective Conan: The Phantom of Baker Street
Actor: Hiroaki Hirata,One Piece: Chopper's Kingdom in the Strange Animal Island
Actor: Hiroaki Hirata,One Piece: Dream Soccer King!
Actor: Hiroaki Hirata,Kinnikuman nisei
Actor: Hiroaki Hirata,Cyborg 009
Actor: Hiroaki Hirata,Kaze No Yojimbo
Actor: Hiroaki Hirata,WXIII: Patlabor the Movie 3
Actor: Hiroaki Hirata,Digimon Tamers
Actor: Hiroaki Hirata,Zaion: I Wish You Were Here
Actor: Hiroaki Hirata,Saiyuki: Requiem - The Motion Picture
Actor: Hiroaki Hirata,Digimon Adventure 02
Actor: Hiroaki Hirata,One Piece: Clockwork Island Adventure
Actor: Hiroaki Hirata,One Piece: Jango's Dance Carnival
Actor: Hiroaki Hirata,One Piece TV Special: Adventure in the Ocean's Navel
Actor: Hiroaki Hirata,Gensomaden Saiyuki
Actor: Hiroaki Hirata,Digimon Adventure
Actor: Hiroaki Hirata,Digimon Adventure: Our War Game!
Actor: Hiroaki Hirata,Kindaichi Case Files Movie 1: The Opera House Murders
Actor: Hiroaki Hirata,Aidoru purojekuto
Actor: Hiroaki Hirata,Rokudenashi Blues 1993
Actor: Yuriko Yamaguchi,One Piece
Actor: Yuriko Yamaguchi,Evangelion: 3.0+1.01 Thrice Upon a Time
Actor: Yuriko Yamaguchi,Evangelion the Movie AVANT 1: 0706 Version
Actor: Yuriko Yamaguchi,Eureka Seven Hi-Evolution: Anemone
Actor: Yuriko Yamaguchi,Dragon Ball Super
Actor: Yuriko Yamaguchi,Tôkyô Wan Pîsu Tawâ: Tongari Shima no Dai Hihô
Actor: Yuriko Yamaguchi,One Piece Film: Gold
Actor: Yuriko Yamaguchi,Reikenzan: Hoshikuzu-tachi no Utage
Actor: Yuriko Yamaguchi,Kekkai Sensen
Actor: Yuriko Yamaguchi,Death Parade
Actor: Yuriko Yamaguchi,Terra Formars
Actor: Yuriko Yamaguchi,Sailor Moon Crystal
Actor: Yuriko Yamaguchi,One Piece Film Z
Actor: Yuriko Yamaguchi,Evangelion: 3.0 You Can (Not) Redo
Actor: Yuriko Yamaguchi,Naruto: Shippûden
Actor: Yuriko Yamaguchi,Toriko
Actor: Yuriko Yamaguchi,One Piece 3D: Straw Hat Chase
Actor: Yuriko Yamaguchi,Pokémon
Actor: Yuriko Yamaguchi,Time of Eve
Actor: Yuriko Yamaguchi,One Piece: Strong World
Actor: Yuriko Yamaguchi,Time of Eve
Actor: Yuriko Yamaguchi,Evangelion: 2.0 You Can (Not) Advance
Actor: Yuriko Yamaguchi,"Eureka Seven - good night, sleep tight, young lovers"
Actor: Yuriko Yamaguchi,Clannad: After Story
Actor: Yuriko Yamaguchi,A Certain Magical Index
Actor: Yuriko Yamaguchi,Wan pîsu: Romansu keimei
Actor: Yuriko Yamaguchi,"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura"
Actor: Yuriko Yamaguchi,Evangelion: 1.0 You Are (Not) Alone
Actor: Yuriko Yamaguchi,One Piece: Episode of Alabasta - The Desert Princess and the Pirates
Actor: Yuriko Yamaguchi,The Mastermind of Mirage Pokémon
Actor: Yuriko Yamaguchi,Eureka Seven
Actor: Yuriko Yamaguchi,One Piece: The Giant Mechanical Soldier of Karakuri Castle
Actor: Yuriko Yamaguchi,The Detective Memoirs of Chief Straw Hat Luffy
Actor: Yuriko Yamaguchi,Reservoir Chronicle: Tsubasa
Actor: Yuriko Yamaguchi,Rockman. EXE: The Program of Light and Darkness
Actor: Yuriko Yamaguchi,One Piece: Baron Omatsuri and the Secret Island
Actor: Yuriko Yamaguchi,Moon Phase
Actor: Yuriko Yamaguchi,Mirage of Blaze: Rebels of the River Edge
Actor: Yuriko Yamaguchi,Agatha Christie's Great Detectives Poirot and Marple
Actor: Yuriko Yamaguchi,Zatch Bell!
Actor: Yuriko Yamaguchi,One Piece: The Cursed Holy Sword
Actor: Yuriko Yamaguchi,One Piece: Protect! The Last Great Stage
Actor: Yuriko Yamaguchi,Fullmetal Alchemist
Actor: Yuriko Yamaguchi,Pokémon Chronicles
Actor: Yuriko Yamaguchi,Kaleido Star
Actor: Yuriko Yamaguchi,Naruto
Actor: Yuriko Yamaguchi,Gad Guard
Actor: Yuriko Yamaguchi,"One Piece: Open Upon the Great Sea! A Father's Huge, Huge Dream!"
Actor: Yuriko Yamaguchi,Ganparêdo mâchî: Aratanaru kôgun uta
Actor: Yuriko Yamaguchi,One Piece: Dead End Adventure
Actor: Yuriko Yamaguchi,Inuyasha
Actor: Yuriko Yamaguchi,La Blue Girl Returns
Actor: Yuriko Yamaguchi,RahXephon
Actor: Yuriko Yamaguchi,Sin: The Movie
Actor: Yuriko Yamaguchi,Ah! My Goddess: The Movie
Actor: Yuriko Yamaguchi,FLCL
Actor: Yuriko Yamaguchi,Ippatsu Kiki Musume
Actor: Yuriko Yamaguchi,Dokyusei 2 Special: Sotsugyosei
Actor: Yuriko Yamaguchi,Cardcaptor Sakura: The Movie
Actor: Yuriko Yamaguchi,Masquerade
Actor: Yuriko Yamaguchi,Pet Shop of Horrors
Actor: Yuriko Yamaguchi,GLO*RI*A
Actor: Yuriko Yamaguchi,Generator Gawl
Actor: Yuriko Yamaguchi,Midnight Panther
Actor: Yuriko Yamaguchi,Go Nagai's New Cutey Honey
Actor: Yuriko Yamaguchi,Battle Athletes
Actor: Yuriko Yamaguchi,Revival of Evangelion
Actor: Yuriko Yamaguchi,Battle Athletes Victory
Actor: Yuriko Yamaguchi,Neon Genesis Evangelion: The End of Evangelion
Actor: Yuriko Yamaguchi,Neon Genesis Evangelion: Girlfriend of Steel
Actor: Yuriko Yamaguchi,Buttobi CPU
Actor: Yuriko Yamaguchi,Count Down Akira
Actor: Yuriko Yamaguchi,Neon Genesis Evangelion: Death & Rebirth
Actor: Yuriko Yamaguchi,Tournament of the Gods: Title Match
Actor: Yuriko Yamaguchi,Variable Geo
Actor: Yuriko Yamaguchi,Alice in Cyberland
Actor: Yuriko Yamaguchi,Lady Blue
Actor: Yuriko Yamaguchi,Trouble Evocation
Actor: Yuriko Yamaguchi,Neon Genesis Evangelion
Actor: Yuriko Yamaguchi,Dôkyûsei 2
Actor: Yuriko Yamaguchi,Dragon Pink
Actor: Yuriko Yamaguchi,Twin Angels 2
Actor: Yuriko Yamaguchi,Dokyusei: Climax
Actor: Yuriko Yamaguchi,Neon Genesis Evangelion: Genesis 0:0 - In the Beginning
Actor: Yuriko Yamaguchi,Cool Devices
Actor: Yuriko Yamaguchi,"Legend of the Angel of Love, Wedding Peach"
Actor: Yuriko Yamaguchi,Twin Angels
Actor: Kazuki Yao,Blade Runner: Black Lotus
Actor: Kazuki Yao,One Piece
Actor: Kazuki Yao,One Piece: Stampede
Actor: Kazuki Yao,Kamen Rider Gorider
Actor: Kazuki Yao,Tôkyô Wan Pîsu Tawâ: Tongari Shima no Dai Hihô
Actor: Kazuki Yao,One Piece Film: Gold
Actor: Kazuki Yao,Shuriken Sentai Ninninger
Actor: Kazuki Yao,One Piece: Adventure of Nebulandia
Actor: Kazuki Yao,Seinto Seiya: Omega
Actor: Kazuki Yao,Zyuden Sentai Kyoryuger
Actor: Kazuki Yao,Kyousogiga
Actor: Kazuki Yao,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari
Actor: Kazuki Yao,Dream 9 Toriko x One Piece x Dragon Ball Z Super Collaboration Special!!
Actor: Kazuki Yao,Berserk: The Golden Age Arc III - The Advent
Actor: Kazuki Yao,One Piece: Episode of Luffy - Adventure on Hand Island
Actor: Kazuki Yao,One Piece Film Z
Actor: Kazuki Yao,Berserk: The Golden Age Arc II - The Battle for Doldrey
Actor: Kazuki Yao,Hikonin Sentai Akibaranger
Actor: Kazuki Yao,Detective Conan: The Eleventh Striker
Actor: Kazuki Yao,Toriko
Actor: Kazuki Yao,Berserk: The Golden Age Arc I - The Egg of the King
Actor: Kazuki Yao,Kaizoku Sentai Gokaiger
Actor: Kazuki Yao,Hunter x Hunter
Actor: Kazuki Yao,Kyousou Giga
Actor: Kazuki Yao,Naruto: Shippûden
Actor: Kazuki Yao,Wolverine
Actor: Kazuki Yao,One Piece 3D: Straw Hat Chase
Actor: Kazuki Yao,Fullmetal Alchemist: Brotherhood
Actor: Kazuki Yao,One Piece: Strong World
Actor: Kazuki Yao,InuYasha: The Final Act
Actor: Kazuki Yao,The Slayers
Actor: Kazuki Yao,Pokémon
Actor: Kazuki Yao,Gunslinger Girl: Il Teatrino
Actor: Kazuki Yao,Wan pîsu: Romansu keimei
Actor: Kazuki Yao,Detective Conan
Actor: Kazuki Yao,Real Drive
Actor: Kazuki Yao,"One Piece: Episode of Chopper Plus - Bloom in the Winter, Miracle Sakura"
Actor: Kazuki Yao,Neuro: Supernatural Detective
Actor: Kazuki Yao,Clannad
Actor: Kazuki Yao,Shigurui: Death Frenzy
Actor: Kazuki Yao,Initial D Battle Stage 2
Actor: Kazuki Yao,Death Note
Actor: Kazuki Yao,Murder Princess
Actor: Kazuki Yao,One Piece: Episode of Alabasta - The Desert Princess and the Pirates
Actor: Kazuki Yao,GoGo Sentai Boukenger
Actor: Kazuki Yao,Nana
Actor: Kazuki Yao,Oroshitate Musical Nerima Daikon Brothers
Actor: Kazuki Yao,Mahou Sentai Magiranger
Actor: Kazuki Yao,Genesis of Aquarion
Actor: Kazuki Yao,Yukikaze
Actor: Kazuki Yao,XxxHOLiC the Movie: A Midsummer Night's Dream
Actor: Kazuki Yao,Tenjho Tenge: The Past Chapter
Actor: Kazuki Yao,Tenjho Tenge: Ultimate Fight
Actor: Kazuki Yao,F-Zero GP Legend
Actor: Kazuki Yao,Fullmetal Alchemist
Actor: Kazuki Yao,Tenjo Tenge
Actor: Kazuki Yao,One piece: Mezase! Kaizoku yakyu o
Actor: Kazuki Yao,R.O.D the TV
Actor: Kazuki Yao,Ninja Scroll: The Series
Actor: Kazuki Yao,Hanada Shonen-shi
Actor: Kazuki Yao,Initial D: Battle Stage
Actor: Kazuki Yao,One Piece: Dream Soccer King!
Actor: Kazuki Yao,Initial D: Extra Stage
Actor: Kazuki Yao,Mirai sentai Timeranger vs. Go Go V
Actor: Kazuki Yao,Sakura Wars: The Movie
Actor: Kazuki Yao,Mahô shôjo neko Taruto
Actor: Kazuki Yao,Bastard!!
Actor: Kazuki Yao,Initial D: Third Stage
Actor: Kazuki Yao,Detective Conan: Conan vs. Kid vs. Yaiba - The Grand Battle for the Treasure Sword!!
Actor: Kazuki Yao,Digimon Adventure 02
Actor: Kazuki Yao,Devilman Volume 3: Devilman Apocalypse
Actor: Kazuki Yao,Initial D: Second Stage
Actor: Kazuki Yao,Sorcerer on the Rocks
Actor: Kazuki Yao,Super Life-Form Transformers: Beast Wars Neo
Actor: Kazuki Yao,VoiceSlugger
Actor: Kazuki Yao,Initial D
Actor: Kazuki Yao,Virus Buster Serge
Actor: Kazuki Yao,B-Robo Kabutack
Actor: Kazuki Yao,Master Mosquiton
Actor: Kazuki Yao,Reideen: The Superior
Actor: Kazuki Yao,Gekisou Sentai Carranger
Actor: Kazuki Yao,Legend of Crystania: The Chaos Ring
Actor: Kazuki Yao,Magical Project S
Actor: Kazuki Yao,Slayers Return
Actor: Kazuki Yao,Hâmerun no baiorin hiki
Actor: Kazuki Yao,Street Fighter II: V
Actor: Kazuki Yao,"Legend of the Angel of Love, Wedding Peach"
Actor: Kazuki Yao,Azuki-chan
Actor: Kazuki Yao,Ninja Sentai Kakuranger
Actor: Kazuki Yao,Wairudo 7
